word_idx,start_char,word,paragraph_idx,chapter_idx
0,0,My,0,51
1,3,Name,0,51
2,8,is,0,51
3,11,Red,0,51
4,15,Orhan,0,51
5,21,Pamuk,0,51
6,29,2,1,51
7,32,You,2,51
8,36,slew,2,51
9,41,a,2,51
10,43,man,2,51
11,47,and,2,51
12,51,then,2,51
13,56,fell,2,51
14,61,out,2,51
15,65,with,2,51
16,70,one,2,51
17,74,another,2,51
18,82,concerning,2,51
19,93,him,2,51
20,99,Koran,2,51
21,106,The,2,51
22,112,Cow,2,51
23,121,The,4,51
24,125,blind,4,51
25,131,and,4,51
26,135,the,4,51
27,139,seeing,4,51
28,146,are,4,51
29,150,not,4,51
30,154,equal,4,51
31,162,Koran,4,51
32,169,The,4,51
33,175,Creator,4,51
34,186,To,5,51
35,189,God,5,51
36,193,belongs,5,51
37,201,the,5,51
38,205,East,5,51
39,210,and,5,51
40,214,the,5,51
41,218,West,5,51
42,226,3,6,51
43,229,Chapter,7,0
44,237,1,7,0
45,239,I,7,0
46,241,AM,7,0
47,244,A,7,0
48,246,CORPSE,7,0
49,254,I,8,0
50,256,am,8,0
51,259,nothing,8,0
52,267,but,8,0
53,271,a,8,0
54,273,corpse,8,0
55,280,now,8,0
56,285,a,8,0
57,287,body,8,0
58,292,at,8,0
59,295,the,8,0
60,299,bottom,8,0
61,306,of,8,0
62,309,a,8,0
63,311,well,8,0
64,317,Though,8,0
65,324,I,8,0
66,326,drew,8,0
67,331,my,8,0
68,334,last,8,0
69,339,breath,8,0
70,346,long,8,0
71,351,ago,8,0
72,355,and,8,0
73,359,my,8,0
74,362,heart,8,0
75,368,has,8,0
76,372,stopped,8,0
77,380,beating,8,0
78,389,no,8,0
79,392,one,8,0
80,397,apart,8,0
81,403,from,8,0
82,408,that,8,0
83,413,vile,8,0
84,418,murderer,8,0
85,428,knows,8,0
86,434,what,8,0
87,439,s,8,0
88,442,happened,8,0
89,451,to,8,0
90,454,me,8,0
91,458,As,8,0
92,461,for,8,0
93,465,that,8,0
94,470,wretch,8,0
95,478,he,8,0
96,481,felt,8,0
97,486,for,8,0
98,490,my,8,0
99,493,pulse,8,0
100,499,and,8,0
101,503,listened,8,0
102,512,for,8,0
103,516,my,8,0
104,519,breath,8,0
105,526,to,8,0
106,529,be,8,0
107,532,sure,8,0
108,537,I,8,0
109,539,was,8,0
110,543,dead,8,0
111,549,then,8,0
112,554,kicked,8,0
113,561,me,8,0
114,564,in,8,0
115,567,the,8,0
116,571,midriff,8,0
117,580,carried,8,0
118,588,me,8,0
119,591,to,8,0
120,594,the,8,0
121,598,edge,8,0
122,603,of,8,0
123,606,the,8,0
124,610,well,8,0
125,616,raised,8,0
126,623,me,8,0
127,626,up,8,0
128,629,and,8,0
129,633,dropped,8,0
130,641,me,8,0
131,644,below,8,0
132,651,As,8,0
133,654,I,8,0
134,656,fell,8,0
135,662,my,8,0
136,665,head,8,0
137,671,which,8,0
138,677,he,8,0
139,680,d,8,0
140,683,smashed,8,0
141,691,with,8,0
142,696,a,8,0
143,698,stone,8,0
144,705,broke,8,0
145,711,apart,8,0
146,718,my,8,0
147,721,face,8,0
148,727,my,8,0
149,730,forehead,8,0
150,739,and,8,0
151,743,cheeks,8,0
152,751,were,8,0
153,756,crushed,8,0
154,765,my,8,0
155,768,bones,8,0
156,774,shattered,8,0
157,785,and,8,0
158,789,my,8,0
159,792,mouth,8,0
160,798,filled,8,0
161,805,with,8,0
162,810,blood,8,0
163,817,For,8,0
164,821,nearly,8,0
165,828,four,8,0
166,833,days,8,0
167,838,I,8,0
168,840,have,8,0
169,845,been,8,0
170,850,missing,8,0
171,859,My,8,0
172,862,wife,8,0
173,867,and,8,0
174,871,children,8,0
175,880,must,8,0
176,885,be,8,0
177,888,searching,8,0
178,898,for,8,0
179,902,me,8,0
180,906,my,8,0
181,909,daughter,8,0
182,919,spent,8,0
183,925,from,8,0
184,930,crying,8,0
185,938,must,8,0
186,943,be,8,0
187,946,staring,8,0
188,954,fretfully,8,0
189,964,at,8,0
190,967,the,8,0
191,971,courtyard,8,0
192,981,gate,8,0
